Annotation,Group 1 Rat 1 (F98),Group 1 Rat 2 (F98),Group 1 Rat 3 (F98),Group 1 Rat 4 (F98),Group 1 Rat 5 (F98),Group 1 Rat 6 (F98),Annotation ,Group 2 Rat 1 (F98),Group 2 Rat 2 (F98),Group 2 Rat 3 (F98),Group 2 Rat 4 (F98),Group 2 Rat 5 (F98),Group 2 Rat 6 (F98),Group 2  Rat 1 (CTX-TNA 2),Group 2  Rat 2 (CTX-TNA 2),Group 2 Rat  3 (CTX-TNA 2),Group 2  Rat 4 (CTX-TNA 2),Group 2  Rat 5 (CTX-TNA 2),Group 2 Rat 6 (CTX-TNA 2),,
CAR 14:0,12.47699929,12.41600578,12.3278333,12.03411115,12.15291858,11.9436137,8-(3-octyl-2-oxiranyl)octanoic acid ,10.11113567,9.923327485,9.842350343,9.914385132,10.39124359,10.21310422,9.481799432,9.749869427,10.09407769,9.828136484,9.794415866,9.802516365,,
CAR 16:0 ,14.82431241,14.78376561,14.79821864,14.37944606,14.20342448,14.24041869,C16 Lactosyl Ceramide (d18:1/16:0) C16 Lactosyl Ceramide,11.5674808,12.01506653,12.60779264,12.1376316,11.85564717,11.16741815,13.10033382,12.81778312,13.15418521,13.28540222,12.91923579,12.48381578,,
CAR 16:1,12.71360131,12.58378795,12.39499851,13.06726628,13.21750338,12.83605036,CAR 10:0 ,8.73809226,7.693486957,9.01402047,8.607330314,9.159871337,7.77478706,7.882643049,8.348728154,9.319672121,7.924812504,8.721099189,8.832890014,,
CAR 18:0 ,13.91877009,13.70832952,13.89566994,12.92239857,12.7251532,12.76258967,CAR 10:1 ,9.487840034,9.084808388,7.876516947,8.247927513,9.403012024,8.897845456,8.519636253,8.535275377,9.312882955,9.231221181,8.654636029,8.554588852,,
CAR 18:1 ,14.68666466,14.49523046,14.41567576,15.12298972,14.91918922,14.78999206,CAR 12:0 ,9.357552005,10.21916852,9.857980995,9.71596199,10.04575966,10.26795708,9.285402219,10.59245704,10.64475759,9.837627933,10.51471405,10.53430288,,
CAR 18:2 ,10.46760555,8.321928095,8.87036472,10.43879185,10.28655776,8.636624621,CAR 12:1 ,11.55026581,11.38154295,11.18735207,11.10983065,11.54592977,11.04712391,11.64700864,11.22219114,10.61470984,10.94104761,10.88493365,11.48733762,,
CAR 20:1,13.14497682,12.97513146,12.99258434,13.33091688,12.98210231,12.71767642,CAR 14:0,10.10459875,9.741466986,9.921840937,10.03754695,9.784634846,9.409390936,10.40407714,10.35204343,10.60269887,10.68737568,10.80332392,10.01541505,,
CE 14:0 ,9.21916852,9.415741768,9.071462363,8.794415866,8.491853096,8.098032083,CAR 14:1 Isomer A,9.614709844,9.103287808,8.21916852,8.807354922,9.174925683,9.147204925,9.529430554,8.836050355,9.317412614,8.405141463,9.011227255,9.501837185,,
CE 16:1 ,13.52000474,13.31826034,13.64182597,13.33539035,13.1694553,13.4557125,CAR 14:1 Isomer B,9,9.209453366,8.845490051,9.030667136,9.095397023,8.787902559,9.063395081,9.756556323,9.049848549,9.330916878,8.108524457,9.236014192,,
CE 18:1 ,16.11195071,16.11969093,16.20369212,16.18142406,16.08982286,16.23644404,CAR 14:2 ,10.36522885,8.781359714,8.154818109,8.357552005,9.257387843,9.509775004,8.539158811,9.202123824,9.17990909,9.033423002,9.17990909,9.515699838,,
CE 18:2 ,14.24644372,14.23541594,14.54266917,14.33608808,14.0970445,14.67049029,CAR 16:0 ,10.99647349,12.18146288,12.36877926,12.01680829,11.81618368,11.73470962,11.70951466,11.906139,11.62159404,12.06204614,12.14593215,11.1221809,,
CE 18:3 ,10.44501485,10.44086917,10.7548875,10.27844946,10.13699111,10.5137276,CAR 16:1,9.2644426,9.929258409,9.799281622,9.515699838,9.45532722,9.159871337,8.985841937,9.616548844,9.636624621,9.063395081,9.383704292,8.366322214,,
CE 20:1,12.96704609,12.86283105,13.03737536,12.72983314,12.73025784,12.70671184,CAR 18:0,11.45943162,11.54448152,12.95601308,11.77148947,11.49335512,12.01192607,10.6183855,10.83605036,11.14593215,10.96938652,10.96650545,10.76570049,,
CE 20:2,12.65776504,12.51496056,12.66533592,12.74062404,12.75843144,12.73788108,CAR 18:1 ,10.82892983,12.33594857,11.84352853,11.84470576,11.10656294,10.87190524,10.4767462,11.35480034,10.76983784,10.17492568,11.07948478,10.13314221,,
CE 20:3 ,11.27437815,11.16239133,11.24079133,11.30320995,10.99576715,11.09605624,CAR 18:2,9.167418146,9.346513733,9.724513853,8.531381461,9.609178738,8.885696373,8.845490051,8.581200582,9.002815016,9.047123912,8.768184325,8.810571635,,
CE 20:4 ,14.20640391,14.18797059,14.56795608,14.11064643,13.80554236,14.52894242,CAR 18:3 ,9.184875343,8.463524373,7.303780748,8.945443836,8.573647187,8.936637939,9.271463028,7.77478706,10.29806257,8.77478706,8.700439718,8.791162889,,
CE 20:5 ,10.98797452,10.82813648,11.18797059,10.81458247,10.56510208,10.86650621,CAR 20:0,10.71510401,10.26209485,10.75905594,10,10.75655632,10.20212382,10.83051521,10.64655871,10.61930296,10.84313591,10.47876962,9.994353437,,
CE 22:2 ,11.98334993,13.0152408,12.41574177,13.06709819,13.00650141,13.01837407,CAR 20:1 ,11.08679969,10.14720492,10.53332973,9.769837844,11.46505617,10.73216743,9.957102042,11.38963134,11.1711768,9.821773982,8.184875343,9.816983623,,
CE 22:5,12.32614856,12.14370208,12.40221267,12.59128858,12.40992124,12.6024669,CAR 8:1 ,9.511752654,8.82336724,8.30833903,9.055282436,10.08613623,8.807354922,9.259743264,9.647458426,10.02928723,9.592457037,9.632995197,10.79197682,,
CE 22:6 ,13.67827002,13.47864324,13.77725532,13.97522104,13.80160733,13.9668659,CE 18:1 ,12.19044202,12.28019079,12.58777752,12.42678889,13.10033382,12.8558418,11.90839262,12.29462075,12.04473563,12.15671514,12.22972009,12.30178196,,
CE 24:1,12.28626896,12.00947875,12.25768248,11.64610864,11.58402294,11.55698496,CE 18:2 ,11.20945337,10.95492329,11.05866825,11.13955135,11.81097322,11.53915881,10.67242534,11.09605624,11.17554955,11.05731488,10.91064273,10.9505559,,
CE 24:5,9.394462695,7.321928095,8.614709844,7.924812504,7.21916852,9.036173613,CE 20:2 ,6.727920455,9.108524457,7.994353437,9.126704473,9.808964175,9.828136484,9.157346935,8.651051691,8.204571144,8.960001932,7.098032083,8.710806434,,
