Annotation,Group 1 F98,Annotation ,Group 2 F98,Group 2 (CTX-TNA 2)
CAR 14:0,12.22524696,8-(3-octyl-2-oxiranyl)octanoic acid ,10.06592441,9.791802543
CAR 16:0 ,14.53826431,C16 Lactosyl Ceramide (d18:1/16:0) C16 Lactosyl Ceramide,11.89183948,12.96012599
CAR 16:1,12.8022013,CAR 10:0 ,8.4979314,8.504974172
CAR 18:0 ,13.32215183,CAR 10:1 ,8.832991727,8.801373441
CAR 18:1 ,14.73829031,CAR 12:0 ,9.910730043,10.23487695
CAR 18:2 ,9.503645433,CAR 12:1 ,11.30367419,11.13287142
CAR 20:1,13.02389804,CAR 14:0,9.833246569,10.47748901
CE 14:0 ,8.848445616,CAR 14:1 Isomer A,9.011108617,9.100183238
CE 16:1 ,13.40677487,CAR 14:1 Isomer B,8.994818356,9.090875913
CE 18:1 ,16.15717078,CAR 14:2 ,9.071020254,9.108370609
CE 18:2 ,14.35469195,CAR 16:0 ,11.85240287,11.76123448
CE 18:3 ,10.42832328,CAR 16:1,9.520646838,9.175406165
CE 20:1,12.83900922,CAR 18:0,11.87278281,10.88366008
CE 20:2,12.67916635,CAR 18:1 ,11.47193014,10.66482285
CE 20:3 ,11.17876569,CAR 18:2,9.210783717,8.842564253
CE 20:4 ,14.23457696,CAR 18:3 ,8.567984905,8.935117054
CE 20:5 ,10.87504539,CAR 20:0,10.44915582,10.56877264
CE 22:2 ,12.75105103,CAR 20:1 ,10.6223993,10.05692385
CE 22:5,12.41262334,CAR 8:1 ,9.098705418,9.825652995
CE 22:6 ,13.77964381,CE 18:1 ,12.57356247,12.15599437
CE 24:1,11.89009112,CE 18:2 ,11.28545472,10.97709077
CE 24:5,8.251875878,CE 20:2 ,8.765767247,8.463635037
Cer 34:2;2O|Cer 18:2;2O/16:0,14.05578665,CE 20:4 ,11.91837565,11.52049612
Cer 36:2;2O|Cer 18:2;2O/18:0,11.7890945,CE 20:5 ,7.921007098,8.2389326
Cer 40:2;2O|Cer 18:1;2O/22:1,13.6975348,CE 22:6 ,10.4743469,10.31454538
Cer 41:2;2O|Cer 18:1;2O/23:1,11.8901002,Cer 17:0;3O/24:0;(2OH) ,9.779390707,9.841981779
Cer 42:1;3O|Cer 19:0;2O/23:1;O,10.63350505,Cer 17:1;2O/16:1 ,10.82448261,10.58633478
Cer 42:3;2O|Cer 18:2;2O/24:1,15.09629934,Cer 17:1;2O/24:1 ,8.681530169,8.871360746
Cer d34:1 ,16.86390311,Cer 18:0;2O/16:0 ,12.83542067,12.81918126
Cer d36:1 ,14.71536583,Cer 18:0;3O/22:0;(2OH) ,9.369761777,9.296998844
Cer d38:1 ,13.18237546,Cer 18:0;3O/24:0;(2OH) ,10.24114372,10.36425736
Cer d40:1 ,13.93974863,Cer 18:0;3O/25:0;(2OH) ,9.378743857,9.927594943
Cer d41:1 ,12.32407197,Cer 18:1;2O/24:2 ,15.27139465,13.70384256
Cer d42:1 ,15.52291157,Cer 18:1;2O/26:0 ,10.72678264,11.2328274
Cer d42:2 Isomer A ,16.33939169,Cer 18:2;2O/22:0 ,13.10012184,12.15449149
Cer d42:2 Isomer B ,14.35938666,Cer 19:1;2O/24:1 ,10.38195591,10.68346558
Cholesterol ,15.21708433,Cer 20:0;2O/26:0 ,10.24329381,10.72474001
CoQ10,12.45094553,Cer 20:0;3O/24:0;(2OH) ,10.20283513,10.31098052
CoQ9,14.88990393,Cer 20:1;2O/28:0 ,9.567861175,9.868300422
DG 32:1 ,14.49884642,Cer 20:1;2O/48:3;2O ,10.1497681,10.34997411
DG 34:1 ,15.23678676,Cer 20:1;2O/49:3;2O ,9.812381913,9.88732831
DG 34:2 ,13.39184852,Cer 20:1;2O/50:3;2O ,9.732841381,10.1133297
DG 34:2|DG 16:1_18:1,13.6276984,Cer 21:0;3O/24:0;(2OH) ,9.220631452,9.607071605
DG 36:1 ,12.09675303,Cer 21:3;2O/16:1 ,9.563054549,8.745773851
DG 36:2 ,14.54473168,Cer 22:0;2O/25:0 ,9.859028669,10.10546039
DG 36:3 ,12.08468451,Cer 22:0;2O/26:0 ,10.24583576,10.63757765
DG 36:4|DG 16:0_20:4,11.94346479,Cer 22:1;2O/28:0 ,9.814115242,9.896031963
DG 38:4,14.4305536,Cer d34:2 Isomer A ,11.08520447,11.20540512
DG 38:5 ,13.23235482,Cer d34:2 Isomer B ,10.34801321,10.6706447
GlcCer d34:1 ,13.4562467,Cer d41:1 ,12.40730365,12.95445801
GlcCer d40:1 ,14.05783963,Cer d42:1 ,15.21726682,15.63132407
GlcCer d42:1 ,15.48787989,Cer d42:2 Isomer A ,16.37293608,16.04281641
GlcCer d42:2 ,15.43356632,Cer d42:2 Isomer B ,13.39792267,13.01478829
HexCer 34:1;2O|HexCer 18:1;2O/16:0,15.74653102,Cer d42:2 Isomer C ,10.4255603,10.63667745
Lactosylceramide d18:1/24:1 15Z ,11.83678297,Cer d43:1 ,10.19748352,10.93617266
LPC 14:0 ,11.87650556,Cer d44:2 ,8.875758754,9.154168408
LPC 15:0 ,10.20260054,Cer d46:1 ,9.571999997,9.910487807
LPC 16:0 ,16.34946477,Cholesterol ,15.88333304,15.69456449
LPC 16:1 Isomer A,13.88464475,cis-13-docosenoic acid ,9.005034836,8.896322804
LPC 16:1 Isomer B,12.91018118,DG 16:0_16:0 ,10.79647068,11.00806726
LPC 17:1 ,9.704807816,DG 16:0_16:1 ,10.93229334,11.30860033
LPC 18:0 ,15.75306204,DG 16:0_18:0 ,10.10762207,9.553332934
LPC 18:1 Isomer A,15.08938631,DG 16:0_18:1 ,13.01465901,13.06296557
LPC 18:1 Isomer B,14.50852247,DG 16:0_18:2 ,10.85391695,11.22597205
LPC 18:2 Isomer A,12.4009459,DG 18:0_18:0 ,8.912100206,8.732533005
LPC 18:2 Isomer B,11.69977104,DG 18:0_18:1 ,11.7435039,10.4731026
LPC 18:3 Isomer B,9.652108019,DG 18:1_18:1 ,11.17847127,10.8559461
